Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
52,Yes,Travel_Rarely,1214,Research & Development,3,4,Human Resources,1,322,1,Male,70,4,5,Laboratory Technician,2,Divorced,2141,21529,0,Y,No,11,3,4,80,2,28,2,2,30,5,11,12
58,No,Travel_Rarely,1170,Research & Development,14,1,Human Resources,1,323,3,Male,96,1,3,Research Scientist,2,Divorced,1708,4757,6,Y,No,16,3,3,80,2,26,0,2,27,0,6,7
23,Yes,Travel_Rarely,599,Sales,26,2,Marketing,1,324,2,Female,71,4,3,Sales Representative,1,Married,15543,10717,7,Y,No,25,4,1,80,3,24,4,3,38,8,9,15
42,No,Travel_Rarely,1013,Human Resources,8,4,Technical Degree,1,325,3,Male,98,3,5,Manager,4,Divorced,11239,25862,1,Y,Yes,20,3,2,80,1,36,2,4,0,3,2,2
30,No,Travel_Rarely,246,Research & Development,11,3,Medical,1,326,1,Female,86,4,2,Manager,3,Married,7306,21640,6,Y,No,24,3,3,80,2,14,2,2,24,1,8,12
51,No,Travel_Rarely,1049,Research & Development,27,5,Life Sciences,1,327,3,Male,72,2,5,Research Scientist,2,Married,13848,10483,5,Y,Yes,17,3,1,80,0,3,1,2,37,5,9,11
25,No,Travel_Rarely,183,Research & Development,14,2,Other,1,328,3,Male,41,3,1,Healthcare Representative,3,Single,8821,23556,4,Y,Yes,14,3,4,80,0,13,6,2,19,1,3,1
38,Yes,Travel_Rarely,1081,Research & Development,8,2,Other,1,329,1,Female,93,3,4,Research Scientist,1,Married,5566,2132,3,Y,Yes,20,3,3,80,2,16,5,1,2,2,1,0
51,No,Travel_Rarely,1292,Sales,29,5,Other,1,330,1,Female,80,3,5,Sales Representative,2,Divorced,3188,17138,1,Y,No,15,3,3,80,0,20,2,4,1,6,9,7
21,No,Travel_Frequently,1230,Research & Development,3,5,Medical,1,331,2,Male,89,2,5,Manufacturing Director,2,Married,12039,12412,9,Y,No,14,3,3,80,3,15,0,2,17,16,4,8
42,No,Travel_Rarely,589,Research & Development,7,4,Human Resources,1,332,2,Male,100,3,4,Research Scientist,4,Married,10074,11014,5,Y,No,13,3,1,80,2,25,4,1,9,8,1,7
32,No,Travel_Frequently,1435,Sales,28,1,Human Resources,1,333,4,Female,57,4,4,Sales Executive,1,Single,9284,21643,4,Y,No,11,3,2,80,1,8,3,4,4,8,13,16
21,Yes,Travel_Rarely,183,Sales,19,1,Life Sciences,1,334,2,Male,100,2,1,Manager,4,Single,18815,23257,1,Y,No,23,3,2,80,2,1,4,2,8,18,9,8
29,No,Travel_Rarely,195,Sales,4,3,Technical Degree,1,335,1,Male,43,3,4,Sales Executive,2,Married,16098,8280,9,Y,No,16,3,3,80,3,14,0,3,1,4,15,5
49,No,Travel_Rarely,1446,Sales,25,1,Medical,1,336,3,Male,61,4,3,Manager,1,Married,4189,14513,6,Y,No,20,4,3,80,1,34,1,1,33,5,5,14
49,Yes,Non-Travel,444,Research & Development,16,3,Medical,1,337,3,Male,37,4,5,Manufacturing Director,2,Married,7705,20602,5,Y,No,15,3,1,80,3,23,0,1,37,17,10,12
45,No,Travel_Frequently,898,Research & Development,13,3,Marketing,1,338,2,Male,56,1,4,Manager,1,Single,10592,16351,8,Y,Yes,21,3,4,80,0,37,5,2,30,0,9,11
30,Yes,Travel_Rarely,462,Research & Development,20,2,Human Resources,1,339,2,Female,79,4,1,Research Scientist,2,Single,18007,25877,9,Y,Yes,11,3,3,80,0,13,5,2,9,16,0,12
48,No,Travel_Rarely,1191,Sales,19,2,Medical,1,340,1,Male,88,4,4,Manager,3,Divorced,14878,6228,4,Y,No,15,3,3,80,0,36,5,1,11,13,13,6
31,No,Travel_Rarely,725,Research & Development,5,4,Medical,1,341,3,Male,86,1,5,Laboratory Technician,3,Divorced,12766,24772,8,Y,No,16,3,4,80,3,36,2,3,35,14,5,17
37,Yes,Non-Travel,969,Research & Development,23,5,Other,1,342,4,Female,32,1,2,Manager,4,Divorced,17663,5865,8,Y,Yes,20,3,3,80,3,5,1,3,20,4,3,13
35,Yes,Travel_Rarely,530,Sales,5,5,Human Resources,1,343,4,Female,56,2,4,Manager,3,Divorced,13267,17405,0,Y,Yes,15,3,2,80,2,17,6,4,5,16,2,10
46,No,Travel_Rarely,272,Research & Development,20,3,Marketing,1,344,2,Male,63,4,3,Research Scientist,2,Single,3477,7632,4,Y,No,11,3,3,80,1,21,5,2,2,10,1,13
23,No,Travel_Rarely,679,Research & Development,24,5,Technical Degree,1,345,4,Female,55,2,5,Research Director,2,Single,15217,18275,8,Y,No,24,4,2,80,1,17,6,3,9,9,6,16
49,No,Travel_Rarely,169,Research & Development,4,3,Life Sciences,1,346,1,Female,69,2,1,Healthcare Representative,3,Married,16051,5351,6,Y,No,15,3,1,80,3,1,3,4,4,16,8,1
46,No,Travel_Rarely,1159,Research & Development,2,5,Technical Degree,1,347,4,Male,61,3,5,Research Scientist,4,Divorced,16648,8555,5,Y,No,20,3,1,80,3,31,3,3,25,0,11,15
60,No,Travel_Rarely,102,Sales,26,4,Marketing,1,348,2,Male,70,2,2,Manager,3,Married,12555,15869,5,Y,No,11,3,2,80,0,16,6,2,20,4,2,9
19,Yes,Travel_Rarely,252,Research & Development,13,2,Other,1,349,1,Female,31,2,1,Manager,1,Married,13336,15837,6,Y,No,21,3,2,80,3,0,0,4,25,15,15,7
40,No,Travel_Rarely,1003,Research & Development,16,2,Life Sciences,1,350,3,Male,36,2,2,Manager,1,Single,15279,13492,0,Y,No,13,4,4,80,0,8,5,4,37,6,5,4
36,Yes,Travel_Rarely,359,Research & Development,22,3,Technical Degree,1,351,1,Male,48,2,2,Manufacturing Director,1,Married,16532,18138,3,Y,Yes,22,3,2,80,3,12,2,4,25,11,8,6
48,No,Travel_Rarely,851,Research & Development,2,5,Human Resources,1,352,2,Female,62,1,3,Healthcare Representative,3,Married,15309,23866,0,Y,No,23,3,2,80,1,35,3,3,7,7,15,12
22,Yes,Travel_Rarely,729,Research & Development,19,1,Human Resources,1,353,2,Male,31,4,4,Research Scientist,3,Single,11784,16866,5,Y,Yes,12,3,3,80,2,36,4,2,4,17,1,15
36,Yes,Travel_Frequently,896,Sales,17,4,Life Sciences,1,354,4,Female,96,3,3,Sales Representative,3,Single,13274,9994,3,Y,Yes,23,3,4,80,3,29,1,4,14,0,6,4
51,No,Travel_Rarely,120,Sales,5,5,Life Sciences,1,355,4,Male,44,1,3,Sales Representative,1,Single,17682,12884,0,Y,No,11,3,2,80,0,30,4,1,15,11,4,15
27,Yes,Travel_Rarely,136,Research & Development,25,1,Life Sciences,1,356,3,Male,50,3,3,Research Director,4,Single,7623,13599,8,Y,No,14,3,2,80,2,22,6,2,0,3,4,14
42,No,Travel_Frequently,472,Sales,18,4,Medical,1,357,3,Male,88,3,1,Sales Representative,2,Divorced,4261,19722,3,Y,No,12,4,2,80,0,27,3,1,15,11,10,8
19,No,Travel_Frequently,592,Research & Development,28,4,Marketing,1,358,2,Male,68,1,4,Research Director,3,Divorced,8424,14373,5,Y,Yes,15,3,3,80,0,9,3,1,36,0,6,11
28,Yes,Travel_Frequently,918,Human Resources,23,2,Human Resources,1,359,2,Female,49,2,4,Manager,4,Divorced,17671,2751,6,Y,No,20,3,3,80,2,24,0,4,2,0,8,7
48,No,Travel_Rarely,1366,Research & Development,21,3,Human Resources,1,360,2,Female,30,1,1,Manager,2,Married,12125,13251,7,Y,No,11,3,3,80,2,35,0,4,30,2,3,12
32,No,Travel_Rarely,108,Research & Development,18,5,Marketing,1,361,3,Male,38,3,3,Laboratory Technician,2,Divorced,17973,20177,8,Y,No,22,3,1,80,2,25,5,3,12,11,8,4
26,Yes,Travel_Rarely,650,Research & Development,8,4,Other,1,362,2,Female,80,3,3,Research Scientist,2,Single,5967,22934,8,Y,Yes,20,3,3,80,3,25,6,3,15,12,14,13
40,No,Travel_Rarely,472,Research & Development,27,5,Human Resources,1,363,3,Male,67,2,2,Manager,4,Divorced,5285,24546,7,Y,No,11,3,2,80,2,12,1,3,20,12,15,15
36,Yes,Travel_Rarely,858,Research & Development,15,4,Technical Degree,1,364,2,Male,44,1,2,Manager,4,Single,5785,26525,9,Y,No,21,3,3,80,3,16,5,2,1,8,13,10
26,Yes,Travel_Rarely,1375,Human Resources,13,2,Other,1,365,1,Male,70,4,5,Manager,1,Divorced,18217,16619,2,Y,Yes,20,3,3,80,1,39,0,3,26,17,12,11
52,Yes,Travel_Rarely,1240,Research & Development,13,3,Technical Degree,1,366,1,Male,76,3,2,Laboratory Technician,4,Divorced,4841,14710,1,Y,No,14,3,4,80,1,3,2,1,37,0,10,14
38,No,Travel_Rarely,1462,Human Resources,16,1,Life Sciences,1,367,2,Female,55,1,4,Human Resources,4,Single,15910,8057,4,Y,No,17,4,2,80,0,22,1,3,25,5,9,11
26,No,Travel_Rarely,675,Research & Development,22,1,Human Resources,1,368,1,Male,83,2,1,Laboratory Technician,4,Single,6454,16091,0,Y,Yes,24,3,3,80,0,34,2,4,37,4,8,8
45,Yes,Travel_Rarely,782,Sales,20,2,Technical Degree,1,369,3,Male,99,2,3,Sales Representative,2,Married,2389,24713,2,Y,Yes,24,3,1,80,3,10,5,3,24,3,12,0
24,Yes,Travel_Rarely,1267,Sales,13,4,Technical Degree,1,370,4,Male,68,4,5,Sales Executive,3,Married,10874,6629,0,Y,Yes,12,3,4,80,0,11,0,2,10,5,3,2
33,No,Travel_Rarely,189,Sales,20,2,Life Sciences,1,371,1,Female,46,3,2,Sales Executive,1,Married,14935,25751,2,Y,No,12,3,3,80,1,8,1,2,7,2,2,11
33,No,Travel_Rarely,564,Sales,2,3,Other,1,372,4,Female,99,4,5,Manager,3,Divorced,12589,16674,3,Y,Yes,11,3,4,80,3,14,5,1,7,16,1,12
50,No,Travel_Frequently,1173,Sales,3,1,Technical Degree,1,373,1,Female,38,4,1,Sales Executive,3,Divorced,6643,17758,6,Y,No,15,3,4,80,3,36,3,2,32,10,8,5
21,No,Travel_Rarely,582,Research & Development,15,5,Human Resources,1,374,3,Male,75,4,1,Research Scientist,4,Single,6819,13912,4,Y,No,16,3,1,80,2,4,5,3,6,3,11,9
21,Yes,Travel_Frequently,924,Sales,23,1,Other,1,375,1,Male,35,4,5,Sales Executive,1,Single,11188,4070,4,Y,No,23,3,1,80,3,18,6,4,37,0,1,9
56,No,Travel_Rarely,625,Research & Development,19,3,Other,1,376,1,Male,97,2,5,Healthcare Representative,3,Married,13260,26415,0,Y,Yes,16,3,1,80,0,10,4,2,20,3,5,15
57,Yes,Travel_Rarely,312,Research & Development,13,4,Marketing,1,377,2,Male,45,3,5,Healthcare Representative,3,Single,14140,5763,7,Y,Yes,12,3,2,80,1,8,3,1,7,2,4,0
34,Yes,Travel_Rarely,345,Sales,5,2,Human Resources,1,378,4,Female,58,4,3,Manager,1,Divorced,13716,22670,3,Y,No,22,3,4,80,0,34,2,3,20,9,13,15
54,No,Travel_Rarely,340,Research & Development,26,1,Human Resources,1,379,4,Male,70,3,4,Healthcare Representative,4,Single,19242,16381,9,Y,No,22,4,3,80,1,26,3,1,19,0,4,3
56,No,Travel_Rarely,1322,Sales,22,1,Life Sciences,1,380,3,Male,97,2,2,Manager,3,Single,3758,3031,4,Y,No,17,3,1,80,2,12,5,2,7,3,3,5
46,No,Travel_Rarely,870,Sales,6,5,Life Sciences,1,381,3,Male,91,2,2,Sales Representative,2,Single,14165,24074,1,Y,Yes,16,4,1,80,1,11,3,2,30,18,15,1
53,Yes,Travel_Rarely,336,Research & Development,14,2,Medical,1,382,4,Male,69,1,2,Manager,3,Single,17598,19767,0,Y,No,18,4,4,80,2,8,4,1,28,0,5,17
55,No,Travel_Rarely,288,Research & Development,4,5,Human Resources,1,383,2,Male,91,1,5,Research Director,2,Single,4459,6764,8,Y,No,16,3,4,80,0,27,6,3,8,15,4,9
56,No,Travel_Rarely,814,Research & Development,22,5,Other,1,384,2,Male,53,3,5,Manager,4,Married,8223,20628,1,Y,Yes,19,3,4,80,2,12,5,2,14,18,10,3
54,No,Travel_Rarely,1415,Research & Development,19,4,Medical,1,385,4,Male,35,1,5,Laboratory Technician,3,Married,12823,9515,5,Y,No,20,4,3,80,3,19,4,4,29,17,3,0
52,Yes,Travel_Rarely,1346,Research & Development,23,1,Human Resources,1,386,1,Female,69,4,3,Laboratory Technician,1,Divorced,6150,17908,0,Y,No,12,3,2,80,3,12,3,2,25,1,12,14
24,No,Travel_Frequently,598,Sales,7,2,Life Sciences,1,387,4,Male,99,3,3,Sales Representative,1,Married,3717,15047,0,Y,Yes,17,3,2,80,1,26,4,3,9,5,8,9
44,No,Travel_Frequently,1427,Sales,4,4,Life Sciences,1,388,1,Female,87,2,3,Sales Representative,3,Single,19384,3610,8,Y,No,15,3,1,80,0,25,3,2,28,0,12,17
45,No,Non-Travel,288,Research & Development,2,4,Human Resources,1,389,4,Female,43,2,3,Research Scientist,4,Married,16097,15666,3,Y,No,11,3,2,80,0,28,1,1,15,18,5,15
39,No,Travel_Rarely,1037,Research & Development,27,4,Medical,1,390,1,Female,74,4,1,Manager,4,Divorced,12843,12368,8,Y,Yes,13,3,3,80,1,28,3,2,35,4,10,12
31,Yes,Travel_Frequently,1370,Human Resources,7,3,Life Sciences,1,391,2,Male,35,1,3,Manager,1,Married,13287,3498,4,Y,No,14,3,2,80,3,21,0,2,19,1,9,14
24,No,Travel_Frequently,414,Research & Development,3,3,Life Sciences,1,392,4,Male,52,3,3,Laboratory Technician,3,Divorced,11023,22970,6,Y,No,22,3,3,80,2,8,4,3,36,0,15,1
54,Yes,Travel_Rarely,920,Research & Development,15,4,Marketing,1,393,3,Female,91,3,3,Research Scientist,4,Divorced,4282,8264,0,Y,No,12,3,1,80,1,23,6,1,21,15,9,3
39,No,Travel_Rarely,123,Research & Development,1,3,Technical Degree,1,394,1,Male,46,4,2,Healthcare Representative,1,Divorced,15376,4447,5,Y,Yes,17,3,4,80,2,18,4,3,6,1,12,0
22,No,Non-Travel,169,Research & Development,2,2,Human Resources,1,395,2,Male,99,1,2,Research Director,2,Single,5547,14093,7,Y,No,11,3,3,80,2,37,2,2,22,3,9,6
19,No,Non-Travel,493,Human Resources,10,1,Marketing,1,396,3,Male,57,3,2,Human Resources,3,Divorced,13550,13032,0,Y,No,13,4,4,80,0,30,6,4,40,2,12,10
44,Yes,Travel_Rarely,1441,Research & Development,16,2,Technical Degree,1,397,2,Female,42,4,4,Laboratory Technician,2,Married,9721,2674,8,Y,No,22,3,1,80,3,38,6,2,39,16,2,9
38,No,Travel_Rarely,1190,Research & Development,25,1,Human Resources,1,398,1,Female,58,3,1,Research Director,2,Married,10177,21807,2,Y,Yes,19,3,3,80,2,14,2,3,28,14,9,0
55,No,Travel_Frequently,830,Research & Development,28,3,Marketing,1,399,4,Male,74,2,5,Research Scientist,4,Married,4560,10387,0,Y,No,21,4,3,80,3,31,0,4,15,9,5,10
32,No,Travel_Rarely,642,Research & Development,15,2,Marketing,1,400,2,Male,49,3,3,Healthcare Representative,4,Divorced,13306,6644,0,Y,No,24,3,2,80,0,28,4,3,37,11,13,9
38,Yes,Travel_Rarely,669,Sales,24,5,Human Resources,1,401,4,Female,87,3,2,Sales Representative,4,Divorced,11974,14574,5,Y,No,12,3,3,80,1,33,6,3,27,11,0,13
27,No,Non-Travel,1001,Research & Development,15,4,Other,1,402,4,Male,83,3,1,Manufacturing Director,3,Single,3841,21441,5,Y,No,15,4,1,80,1,8,4,1,37,6,4,13
40,No,Travel_Frequently,313,Research & Development,14,1,Medical,1,403,2,Male,93,1,3,Manager,2,Divorced,14431,2392,0,Y,Yes,14,4,4,80,0,34,6,4,30,9,9,6
56,No,Non-Travel,301,Research & Development,22,1,Human Resources,1,404,2,Male,81,1,4,Research Director,3,Married,1161,6210,2,Y,Yes,22,3,3,80,0,5,2,2,13,4,5,10
22,No,Travel_Rarely,1088,Research & Development,14,5,Marketing,1,405,2,Female,72,4,5,Research Director,4,Single,12165,18522,6,Y,No,13,3,1,80,2,36,2,3,32,10,14,3
18,Yes,Travel_Rarely,279,Research & Development,6,5,Other,1,406,4,Male,47,1,3,Laboratory Technician,2,Married,12117,9741,9,Y,Yes,15,4,1,80,0,13,3,2,8,1,10,1
30,No,Non-Travel,1032,Research & Development,14,4,Marketing,1,407,3,Male,83,3,5,Manager,3,Single,3809,4637,2,Y,No,16,3,3,80,1,8,5,1,26,15,7,6
38,No,Travel_Rarely,145,Sales,17,3,Medical,1,408,1,Male,89,3,3,Sales Representative,3,Divorced,6319,22337,2,Y,Yes,11,3,2,80,3,18,4,1,23,11,10,13
43,No,Travel_Frequently,269,Research & Development,18,2,Other,1,409,3,Female,100,1,4,Research Director,1,Single,10953,6872,2,Y,No,12,3,3,80,3,22,4,4,12,15,14,6
38,Yes,Travel_Rarely,388,Sales,20,2,Human Resources,1,410,4,Female,30,1,1,Sales Executive,3,Divorced,3619,16652,6,Y,No,11,3,3,80,3,40,6,1,25,3,14,11
35,No,Travel_Rarely,810,Research & Development,19,2,Technical Degree,1,411,2,Male,66,3,5,Manufacturing Director,4,Divorced,13076,22872,3,Y,No,13,3,2,80,3,27,3,1,28,1,8,2
54,Yes,Travel_Rarely,438,Human Resources,17,3,Medical,1,412,2,Female,78,3,5,Manager,3,Married,2113,22030,3,Y,No,18,3,1,80,0,15,4,2,27,9,10,14
49,No,Travel_Rarely,687,Human Resources,16,4,Life Sciences,1,413,1,Male,64,2,1,Human Resources,2,Divorced,11737,17477,2,Y,Yes,18,3,3,80,0,25,6,1,27,12,2,4
53,Yes,Travel_Rarely,1296,Research & Development,8,2,Human Resources,1,414,1,Male,96,4,5,Laboratory Technician,3,Divorced,8272,21633,9,Y,No,14,3,2,80,3,37,0,1,7,18,1,7
34,No,Travel_Rarely,284,Research & Development,7,1,Human Resources,1,415,3,Female,64,1,2,Laboratory Technician,1,Divorced,2923,18765,8,Y,Yes,16,3,4,80,0,39,2,3,22,14,12,13
52,No,Travel_Rarely,117,Research & Development,20,1,Human Resources,1,416,3,Male,38,4,1,Manufacturing Director,2,Married,1415,22183,1,Y,No,22,3,4,80,2,24,2,1,28,0,3,3
28,Yes,Travel_Rarely,988,Sales,28,1,Other,1,417,1,Male,66,3,4,Manager,2,Divorced,14698,2610,3,Y,No,19,3,2,80,0,34,5,3,4,16,7,6
38,Yes,Travel_Frequently,938,Research & Development,12,5,Life Sciences,1,418,4,Male,89,4,3,Manufacturing Director,1,Married,1175,4295,7,Y,No,24,4,1,80,2,4,2,1,6,3,10,6
43,No,Travel_Rarely,211,Research & Development,9,5,Other,1,419,3,Female,85,1,3,Research Scientist,4,Single,1517,8671,5,Y,No,17,3,2,80,2,6,1,1,35,8,15,17
21,No,Travel_Rarely,407,Research & Development,27,3,Technical Degree,1,420,2,Female,41,1,1,Healthcare Representative,2,Married,19054,14723,6,Y,No,12,3,1,80,0,22,0,4,40,5,15,13
51,Yes,Travel_Rarely,1081,Research & Development,14,2,Other,1,421,2,Female,100,4,2,Laboratory Technician,4,Married,4673,10196,6,Y,No,21,3,4,80,3,24,0,4,26,2,7,7
35,No,Travel_Rarely,107,Research & Development,20,5,Human Resources,1,422,4,Male,100,1,4,Manager,2,Divorced,14059,5752,1,Y,No,12,3,3,80,2,0,3,3,1,1,2,11
57,No,Travel_Rarely,944,Sales,1,1,Marketing,1,423,1,Female,33,2,3,Manager,2,Married,1689,9016,3,Y,No,13,4,2,80,0,21,1,1,24,17,3,9
52,No,Travel_Rarely,1398,Research & Development,10,5,Life Sciences,1,424,3,Male,90,3,3,Research Director,4,Single,19917,6380,9,Y,Yes,18,3,4,80,1,3,4,2,8,18,2,13
58,No,Travel_Rarely,462,Sales,17,1,Life Sciences,1,425,2,Female,74,3,2,Manager,2,Married,19513,6030,9,Y,No,20,3,3,80,3,27,5,4,26,6,9,8
46,No,Travel_Rarely,1310,Research & Development,17,2,Other,1,426,1,Female,79,1,5,Research Scientist,4,Divorced,5366,3084,5,Y,No,25,3,4,80,1,13,0,2,0,2,1,5
46,Yes,Travel_Rarely,757,Research & Development,17,3,Marketing,1,427,3,Male,79,3,1,Laboratory Technician,1,Single,2372,23449,2,Y,Yes,19,3,2,80,2,32,1,4,22,17,3,4
55,No,Non-Travel,1225,Research & Development,4,4,Marketing,1,428,4,Male,77,2,2,Manager,4,Divorced,10532,9815,8,Y,Yes,23,3,2,80,1,3,1,4,9,18,5,0
59,No,Non-Travel,1215,Research & Development,17,4,Other,1,429,2,Male,52,1,2,Research Scientist,1,Divorced,3301,20329,3,Y,Yes,24,3,3,80,0,10,6,1,24,8,10,0
38,No,Travel_Rarely,1085,Sales,18,1,Medical,1,430,4,Female,37,2,2,Sales Representative,2,Married,2547,10283,9,Y,No,13,4,2,80,3,38,0,4,2,15,13,16
59,No,Travel_Rarely,1371,Sales,20,5,Technical Degree,1,431,4,Male,58,2,2,Sales Representative,4,Divorced,4417,4803,1,Y,Yes,19,3,4,80,2,31,6,2,5,5,15,10
30,No,Non-Travel,1364,Research & Development,23,5,Other,1,432,4,Male,72,3,5,Research Director,2,Single,9761,22485,5,Y,Yes,22,3,3,80,0,3,3,4,5,11,10,11
58,Yes,Travel_Rarely,825,Research & Development,2,1,Human Resources,1,433,3,Male,82,3,4,Manager,4,Single,19296,21099,0,Y,Yes,22,3,3,80,3,0,1,3,1,5,4,2
34,No,Travel_Rarely,1206,Sales,8,2,Marketing,1,434,4,Male,35,4,2,Sales Representative,1,Single,1183,15660,5,Y,No,20,3,4,80,2,25,2,1,17,12,2,5
26,Yes,Travel_Rarely,216,Sales,13,1,Technical Degree,1,435,3,Female,53,2,2,Sales Executive,1,Single,3239,4272,9,Y,No,22,3,1,80,2,32,1,1,22,4,1,10
58,No,Non-Travel,377,Research & Development,23,2,Other,1,436,3,Male,43,3,1,Healthcare Representative,4,Married,5296,2932,0,Y,No,18,3,3,80,2,16,4,3,1,12,8,12
18,Yes,Travel_Frequently,181,Sales,25,3,Technical Degree,1,437,4,Male,81,2,3,Sales Representative,1,Single,13121,15782,7,Y,No,15,3,1,80,2,26,0,3,11,6,14,10
19,No,Travel_Rarely,280,Research & Development,22,3,Medical,1,438,4,Female,99,4,5,Research Scientist,2,Married,8115,11841,4,Y,No,21,3,4,80,1,4,4,3,21,11,0,7
46,No,Travel_Rarely,1434,Research & Development,20,1,Marketing,1,439,1,Female,33,2,2,Research Scientist,2,Divorced,10698,23412,5,Y,Yes,20,3,4,80,1,6,3,4,36,3,8,9
50,Yes,Non-Travel,662,Sales,22,3,Medical,1,440,2,Male,87,1,4,Manager,3,Divorced,13055,11719,1,Y,Yes,13,3,3,80,1,24,5,1,19,4,0,1
27,Yes,Travel_Rarely,610,Sales,15,5,Medical,1,441,1,Male,66,4,4,Sales Executive,1,Married,18960,10198,1,Y,No,21,3,2,80,2,7,2,3,38,15,14,13
57,Yes,Travel_Rarely,361,Human Resources,20,2,Marketing,1,442,2,Female,77,4,4,Human Resources,2,Divorced,2160,17072,8,Y,Yes,17,3,3,80,1,33,0,4,23,3,13,15
38,No,Travel_Rarely,393,Research & Development,23,4,Human Resources,1,443,2,Male,68,2,1,Manager,4,Divorced,8628,9432,2,Y,No,19,3,2,80,3,40,1,3,19,7,6,16
45,Yes,Travel_Frequently,986,Research & Development,9,4,Medical,1,444,1,Female,95,2,4,Healthcare Representative,1,Single,7042,3262,5,Y,No,22,3,1,80,2,3,2,2,0,15,5,10
28,No,Travel_Rarely,392,Research & Development,3,3,Other,1,445,1,Male,42,3,1,Research Director,2,Divorced,9569,17281,9,Y,No,16,3,2,80,3,11,1,2,0,7,6,1
51,No,Travel_Frequently,643,Human Resources,3,2,Other,1,446,2,Male,95,1,5,Human Resources,1,Divorced,5955,25826,4,Y,No,13,3,3,80,3,30,3,1,16,16,14,4
25,No,Travel_Rarely,865,Human Resources,2,5,Technical Degree,1,447,2,Male,89,4,4,Human Resources,4,Married,2916,3041,3,Y,No,15,3,2,80,1,10,5,4,0,13,2,15
39,No,Travel_Rarely,1188,Research & Development,1,4,Other,1,448,2,Male,70,4,3,Manager,2,Single,4499,2254,9,Y,Yes,17,3,4,80,2,36,0,2,29,11,13,15
25,No,Travel_Rarely,695,Research & Development,14,5,Other,1,449,3,Female,61,4,2,Laboratory Technician,3,Divorced,19928,13417,1,Y,Yes,18,3,1,80,1,35,3,2,40,2,2,1
32,No,Travel_Frequently,1049,Sales,17,5,Technical Degree,1,450,2,Female,81,3,5,Manager,3,Divorced,5182,16644,7,Y,No,23,4,4,80,1,21,3,4,2,1,12,15
34,No,Travel_Rarely,581,Research & Development,13,4,Life Sciences,1,451,4,Female,34,1,3,Healthcare Representative,1,Married,12074,4721,9,Y,No,24,3,4,80,1,0,5,3,10,12,10,4
40,No,Travel_Rarely,1450,Research & Development,19,4,Marketing,1,452,4,Female,96,4,5,Laboratory Technician,4,Divorced,18686,18326,6,Y,Yes,22,3,4,80,2,3,3,4,23,10,0,7
41,No,Travel_Rarely,482,Research & Development,23,3,Other,1,453,4,Female,95,4,4,Healthcare Representative,2,Single,5778,21013,1,Y,No,14,3,4,80,2,35,3,3,21,11,3,13
36,No,Travel_Rarely,411,Research & Development,15,2,Technical Degree,1,454,1,Female,81,3,5,Laboratory Technician,4,Single,5805,20750,5,Y,No,12,3,2,80,1,7,1,2,25,17,11,9
22,No,Travel_Frequently,1468,Sales,27,1,Medical,1,455,1,Female,78,2,5,Sales Executive,2,Single,14055,21941,7,Y,No,20,3,4,80,3,24,6,2,12,8,1,1
49,No,Travel_Rarely,1181,Research & Development,25,2,Medical,1,456,1,Male,58,4,5,Healthcare Representative,1,Married,15220,23282,6,Y,No,12,3,2,80,3,27,4,2,0,6,9,2
18,No,Travel_Rarely,948,Sales,14,1,Human Resources,1,457,2,Male,67,1,1,Sales Representative,2,Single,6006,18638,0,Y,No,22,3,4,80,2,37,1,1,23,5,7,17
40,No,Travel_Rarely,526,Research & Development,2,4,Other,1,458,4,Female,99,1,3,Healthcare Representative,4,Single,18385,20262,4,Y,Yes,13,3,3,80,0,35,5,1,9,13,2,1
54,No,Travel_Rarely,1267,Sales,7,5,Marketing,1,459,2,Female,37,1,4,Manager,4,Single,9121,25076,1,Y,No,18,3,4,80,1,35,2,1,34,17,6,8
25,Yes,Non-Travel,762,Sales,17,2,Technical Degree,1,460,3,Female,88,1,2,Sales Representative,1,Single,6296,21660,5,Y,Yes,11,3,3,80,1,40,5,4,23,13,6,1
30,Yes,Travel_Rarely,327,Sales,18,5,Human Resources,1,461,3,Female,84,3,4,Sales Representative,4,Single,11587,16974,6,Y,No,24,3,2,80,0,3,5,2,27,4,11,6
25,No,Travel_Rarely,126,Research & Development,6,2,Human Resources,1,462,1,Male,31,4,4,Healthcare Representative,2,Single,19633,22102,6,Y,No,17,4,1,80,2,12,5,2,35,12,8,6
40,No,Travel_Rarely,1490,Research & Development,27,2,Technical Degree,1,463,3,Female,55,3,1,Research Director,1,Married,18869,14030,2,Y,No,16,4,2,80,3,37,5,4,15,0,5,13
60,Yes,Travel_Rarely,196,Research & Development,21,5,Technical Degree,1,464,4,Female,92,1,1,Research Scientist,2,Single,7435,20505,6,Y,No,24,3,1,80,2,24,3,1,39,11,0,4
